movie_id,title,year,directors,actors,genres
11,seven se7en,1995,David Fincher,Morgan Freeman Andrew Kevin Walker Daniel Zacapa Brad Pitt Gwyneth Paltrow John Cassini Bob Mack Peter Crombie Reg E. Cathey R. Lee Ermey George Christy Endre Hules Hawthorne James William Davidson Bob Collins Jimmy Dale Hartsell Richard Roundtree Charline Su Dominique Jennings Allan Kolman Beverly Burke Gene Borkan Julie Araskog Mario Di Donato Alfonso Freeman John C. McGinley Harrison White Bob Stephenson Michael Reid MacKay Kevin Spacey Richard Portnow Tudor Sherrard Mark Boone Junior Pamala Tyson Lennie Loftin Sarah Reinhardt Emily Wagner Martin Serene Michael Massee David Correia Ron Blair Jennifer Mueller Leland Orser Lexie Bigham Evan Mirand Paul Eckstein Harris Savides Rachel Flanagan Heidi Schanz Brian Evers Shannon Wilcox Richard Schiff James Deeth John Santin Charles A. Tamburro Richmond Arquette Duffy Gaver Charles S. Dutton Gregory Fennell Arthur Max,Crime Drama Mystery Thriller
12,usual suspects the,1995,Bryan Singer,Stephen Baldwin Gabriel Byrne Benicio Del Toro Kevin Pollak Kevin Spacey Chazz Palminteri Pete Postlethwaite Suzy Amis Giancarlo Esposito Dan Hedaya Paul Bartel Carl Bressler Phillipe Simon Jack Shearer Christine Estabrook Clark Gregg Morgan Hunter Ken Daly Michelle Clunie Louis Lombardi Frank Medrano Ron Gilbert Vito D'Ambrosio Gene Lythgow Bob Elmore David Powledge Bob Pennetta Billy Bates Smadar Hanson Castulo Guerra Peter Rocca Bert Williams Jaime H. Campos John Gillespie Johnathan Gorman Peter Greene Michael McKay Christopher McQuarrie Ralph Moratz Scott B. Morgan Mike Nyman Grace Sinden,Crime Mystery Thriller
13,mighty aphrodite,1995,Woody Allen,Pamela Blair Rene Ceballos Elie Chaib George De La Pena Joanne DiMauro Denise Faye Marian Filali Angelo Fraboni Scott Fowler Seth Gertsacov Patti Karr Fred Mann III John Mineo Christopher Nelson Valda Setterfield Sven Toorvald F. Murray Abraham Woody Allen Helena Bonham Carter J. Smith-Cameron Steven Randazzo David Ogden Stiers Olympia Dukakis Jeffrey Kurland Tucker Robin Donald Symington Claire Bloom Nolan Tuffy Jimmy McQuaid Yvette Hawkins Karin Haidorfer Gary Alper Rosemary Murphy Peter McRobbie Kathleen Doyle Jennifer Greenhut Sondra James Paul Giamatti William Addy Peter Weller Kenneth Edelson Danielle Ferland Mira Sorvino Dan Mullane Thomas Durkin Dan Moran Paul Herman Tony Sirico Tony Darrow Ray Garvey Michael Rapaport Jack Warden Kent Blocher Joseph P. Coleman Georgette Pasare Al Cerullo Bray Poor David H. Kramer Dann Fink Karen Longwell Dominic Marcus Craig Sechler Bill Timoney Lisa Vidal Bruce Winant John D. Bair Sabrina Culver John Dalton Barney Fitzpatrick Julie Halston Adrian Lee Rawleigh Moreland Paul Navarra,Comedy Fantasy Romance
14,postino il,1994,Michael Radford Massimo Troisi,Philippe Noiret Massimo Troisi Maria Grazia Cucinotta Renato Scarpa Linda Moretti Sergio Solli Carlo Di Maio Nando Neri Vincenzo Di Sauro Orazio Stracuzzi Alfredo Cozzolino Mariano Rigillo Anna Bonaiuto Simona Caparrini Chuck Riley,Biography Comedy Drama Romance
15,mr hollands opus,1995,Stephen Herek,Richard Dreyfuss Glenne Headly Jay Thomas Olympia Dukakis William H. Macy Alicia Witt Terrence Howard Damon Whitaker Jean Louisa Kelly Alexandra Boyd Nicholas John Renner Joseph Anderson Anthony Natale Joanna Gleason Beth Maitland Patrick Fong Benjamin J. Dixon Kathryn Arnett Freeman O. Corbin Moira Feeney Joshua Minnick Ashley Hamrick Janine Shouse Spencer Riviera Dan Vhay Sean Bevington John Henry Redwood Ted Roisum Mark Daniels Kaili Carlton Adam Fitzhugh Eric Michael Cole Joe Campbell Tomiko Peirano Kasey Nelson Zoe McLellan Kelly M. Casey Michael Mendelson Alex Dudgeon Rachel Wooley Jordan Carlton Aurora Miller Paul Bernard Mary Kay O'Mealy Dieffyd Gilman-Frederick Tara Eng Jay Frank Conan Doherty Stacey Siegel Nicolas Sirianni Jacob Adams Chris Marth Brent Archie Kevin Calaba Keith Swift John Boyer Linda Williams Janke David Clegg Don Burns Dennis Biasi Alexander Emmert Cazzey Louis Cereghino Michael R. Ferraro Elizabeth Fournier Balthazar Getty Dennis Carl Gleason Roger Petan Tom Peterson Natascha Snellman Heather Wakehouse Forest Whitaker,Drama Music
16,french twist gazon maudit,1995,Josiane Balasko,Victoria Abril Josiane Balasko Alain Chabat Ticky Holgado Catherine Hiegel Catherine Samie Catherine Lachens Katrine Boorman Telsche Boorman Véronique Barrault Sylvie Audcoeur Michèle Bernier Maureen Diot Miguel Bosé Jean-Luc Violet Catherine Alias Philippe Berry Paul Suissa Anthony Martin Edmonde Franchi Annick Berger Kostas Papadopoulos Delphine Dupont Henri Talau Arlette Lebret Alexandre Grenier Marie Borowski Blanca Li Hélène Raimbault Alice Hygoulin Manuel Malou Javier Martín Cerezo Vicente Almaraz Montero Jean-Baptiste Marino Jorge Sanchez Lopez,Comedy
17,from dusk till dawn,1996,Robert Rodriguez,George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Ernest Liu Salma Hayek Cheech Marin Danny Trejo Tom Savini Fred Williamson Michael Parks Brenda Hillhouse John Saxon Marc Lawrence Kelly Preston John Hawkes Tito Larriva Peter Atanasoff Johnny 'Vatos' Hernandez Aimee Graham Heidi McNeal Ernest M. Garcia Greg Nicotero Cristos Mike Moroff Michelle Berube-Schneider Neena Bidasha Veena Bidasha Ungela Brockman Madison Clark María Díaz Rosalia Hayakawa Janine Jordae Jacque Lawson Houston Leigh Janie Liszewski Tia Texada John Paul Fedele Michael McKay Jake McKinnon Josh Patton Walter Phelan Wayne Toth Henrik von Ryzin Howard Berger Amy Minda Cohen Cecilia Montiel Lyle Trachtenberg Danny the Wonder Pony Lawrence Bender Carlo Corazon Annette Harper Victoria Lucai John Ponzio Robert Rodriguez D. Danny Warhol,Action Crime Horror
18,white balloon the,1995,Jafar Panahi,Aida Mohammadkhani Mohsen Kafili Fereshteh Sadre Orafaiy Anna Borkowska Mohammad Shahani Mohammed Bakhtiar Aliasghar Smadi Hamidreza Tahery Asghar Barzegar Hasan Neamatolahi Bosnali Bahary Mohammadreza Baryar Shaker Hayely Homayoon Rokani Mohammad Farakani Hosain Kazemy Mohammad Zolfaghary,Drama Family
19,antonias line,1995,Marleen Gorris,Willeke van Ammelrooy Els Dottermans Dora van der Groen Veerle van Overloop Esther Vriesendorp Carolien Spoor Thyrza Ravesteijn Mil Seghers Jan Decleir Elsie de Brauw Reinout Bussemaker Marina de Graaf Jan Steen Catherine ten Bruggencate Paul Kooij Fran Waller Zeper Leo Hogenboom Flip Filz Wimie Wilhelm Dirk Zeelenberg Ellen Dikker Jakob Beks Truus te Selle Filip Peeters Michael Pas Erik de Bruyn Petra Laseur Michel van Dousselaere Hans Man in 't Veld Johan Heldenbergh Victor Löw Igor Corbeau Carlo van Dam Aurelie Verstraeten Jeroen Huysmans Kristel Olejniejoh Gilles Robertino Daisy van Laer Dorien van Laer Gabriella Martinson Gilles van Durme Nicky Wolfs Jesse Tomballe Menno Tomballe Sarah de Ceuleer Tamara Maes Barbara Maes Ilse Dense Christophe de Laere Antoon Schotsaert Christophe Horemans Pieter Callens Jascha Vervoort Jenne Decleir Daniel Dailly Eddy Praet Adriaan Van den Hoof Cederic Missine Tine Vanhoucke Stijn Rabaey Charlene Pottevin Lineke Rijxman Gosewijn Zwanikken Manon Sodderland Margo Dames Hans Kesting Reinier Verhoef,Comedy Drama
20,angels and insects,1995,Philip Haas,Mark Rylance Kristin Scott Thomas Patsy Kensit Jeremy Kemp Douglas Henshall Annette Badland Chris Larkin Anna Massey Saskia Wickham Lindsay Thomas Michelle Sylvester Clare Lovell Jenny Lovell Oona Haas Angus Hodder Margaret Golder Paul Ready Naomi Gudge John Jenkins John Veasey Clare Redman Jack Turney Elizabeth Turney Nicky Turney Alice Maitland Hannah Maitland Vita Haas Pam Smitham Brett Harris Talkun Abdureheim Mark Ashman Daniel Belton Joy Constaninides Jason Davies Michael Fulwell Suzanne Gordon Bernadette Iglich Ming Yam Low Enrique Neyra Fuschia Peters Leesa Phillips Claudia Pottier Angelina Hereda Reza Marco De Santos Stephanie Smith Kenneth Tharp Andrew Titcombe Souli Yates Collette McDaid Angela Raynor Sharryn Arnold Kay Sarah Morgan Mark Boffin Paul James Parker Terry Askew Sarah Braker Lucy Thompson Catrina Cauchi Austin France Lorna Fielding Walter White Gareth Knapman Paula Askew Margaret Clarke Carmen Booton Marian Roseman Hayes Judith Clulow Richard Humphries Margaret Hussey Norman Hussey Valerie Middleton Laura Alice Needham Brian Pickin Richard Rawlinson Nicola Smitham Tracey Clarke Claire Vardiel Alan John Bannister Graham Glover Walter Lincoln Chris Treanor Iain Wright Alexander Balanescu,Drama Romance
21,muppet treasure island,1996,Brian Henson David Lane,Tim Curry Billy Connolly Jennifer Saunders Kevin Bishop Dave Goelz Steve Whitmire Jerry Nelson Kevin Clash Bill Barretta Frank Oz John Henson Danny Blackner Peter Geeves Harry Jones David J. Nicholls Frederick Warder Nigel Plaskitt Louise Gold John Eccleston Simon Buckley Katherine Smee Andrew Spooner Robbie Barnett James Barton Michael Bayliss Charles Broughton David Bulbeck Dave Chapman Marcus Clarke Sue Dacre Taylor David Geoff Felix Mike Gallant Pat Garrett Barnaby Harrison Mark Jefferis William Todd-Jones Robin Kingsland Steven Kynman Christopher Leith Anthony Lymboura Mark Mansfield Joan Morris Rebecca Nagan Margaret O'Flaherty Angie Passmore Peter Passmore Marie Phillips Mike Quinn Peter Robbins Gillie Robic Helena Smee John Thirtle Ian Thom Heather Tobias Jürgen Tombers Ian Tregonning Robert Tygner James Vaughan John Wheatley Victoria Willing Phill Woodfine Sarah Wright Paul Zerdin Patrick Comerford Fozzie Bear Kermit the Frog Jessica Hamilton Brian Henson Brian Herring Miss Piggy Mark Alexander Todd,Action Adventure Comedy Family Musical Romance
22,braveheart,1995,Mel Gibson,James Robinson Sean Lawlor Sandy Nelson James Cosmo Sean McGinley Alan Tall Andrew Weir Gerda Stevenson Ralph Riach Mhairi Calvey Brian Cox Patrick McGoohan Peter Hanly Sophie Marceau Stephen Billington Barry McGovern Angus Macfadyen John Kavanagh Alun Armstrong Mel Gibson Catherine McCormack Brendan Gleeson Tommy Flanagan Julie Austin Alex Norton Joanne Bett Rupert Vansittart Michael Byrne Robert Paterson Malcolm Tierney William Scott-Masson Dean Lopata Tam White Donal Gibson Jeanne Marine Martin Dunne Fred Chiverton Ian Bannen Jimmy Chisholm David O'Hara John Murtagh David McKay Peter Mullan Martin Murphy Gerard McSorley Bernard Horsfall Richard Leaf Daniel Coll Niall O'Brien Liam Carney Bill Murdoch Phil Kelly Martin Dempsey Jimmy Keogh Joe Savino David Gant Mal Whyte Paul Tucker Stephen J. Austin John Burns Wayne Byrne Paul Casson-Yardley Jon Church-Fraser Trevor Fehin Graeme Ford John Micheal Foulger Declan Geraghty Greg Jeloudov Jimmy Keegan Andrew Kybett Alastair Thomson Mills Arnold Montey Rana Morrison Jer O'Leary Derek Pykett,Biography Drama History War
23,taxi driver,1976,Martin Scorsese,Diahnne Abbott Frank Adu Victor Argo Gino Ardito Garth Avery Peter Boyle Albert Brooks Harry Cohn Copper Cunningham Robert De Niro Brenda Dickson Harry Fischler Jodie Foster Nat Grant Leonard Harris Richard Higgs Beau Kayser Harvey Keitel Victor Magnotta Bob Maroff Norman Matlock Bill Minkin Murray Moston Harry Northup Gene Palma Harlan Cary Poe Steven Prince Peter Savage Martin Scorsese Cybill Shepherd Nicholas Shields Ralph S. Singleton Joe Spinell Maria Turner Robin Utt Tommy Ardolino Joseph Bergmann David Daniel William Donovan Jean Elliott Annie Gagen Trent Gough Carson Grant Mary-Pat Green Robert John Keiber James Mapes Debbi Morgan David Nichols Antone Pagán Billie Perkins Michael Phillips Catherine Scorsese Charles Scorsese Frankie Verroca,Crime Drama
24,rumble in the bronx,1995,Stanley Tong,Jackie Chan Anita Mui Françoise Yip Bill Tung Marc Akerstream Garvin Cross Morgan Lam Ailen Sit Man-Ching Chan Fred Andrucci Mark Antoniuk Lauro David Chartrand-DelValle Chris Franco Lance Gibson David Hooper Kathy Hubble Terrance Leigh Dean McKenzie Kimani Ray Smith Lisa Stevens Kris Lord Richard Faraci Mark Fielding Terry Howsen Jordan Lennox Gabriel Ostevic John Sampson Owen Walstrom Carrie Cain-Sparks Guyle Fraizer David Fredericks Harold Gillespie Alf Humphreys Elly Leung Ho-Wai Ching Jamie Luk Richard O'Sullivan Alecia Paget John McGrath Adrian Parkinson Rick Burgess Eddy Ko On-Na Lui Emil Chau Alex To Glen Chin Victor Formosa Harley Martin James McKenzie Lee Sollenberger,Action Comedy Crime Thriller
25,birdcage the,1996,Mike Nichols,Robin Williams Gene Hackman Nathan Lane Dianne Wiest Dan Futterman Calista Flockhart Hank Azaria Christine Baranski Tom McGowan Grant Heslov Kirby Mitchell James Lally Luca Tommassini Luis Camacho André Fuentes Tony Gonzalez Dante Henderson Scott Kaske Kevin Alexander Stea Tim Kelleher Ann Cusack Stanley DeSantis J. Roy Helland Anthony Giaimo Lee Delano David Sage Michael Kinsley Tony Snow Dorothy Constantine Trina McGee Barry Nolan Amy Powell Ron Pitts James Hill Mary Major Steven Porfido John Pontrelli Herschel Sparber Francesca Cruz Brian Reddy Jim Jansen Marjorie Lovett Sylvia Short James H. Morrison Robert K. Baruch Mike Starr Al Rodrigo Jordan Ancel Patrizia Barretto Elisa Bridges Scott Burkholder Louis Campos David Christopher Jan Citron Michael Thomas Daniel Orlando Delbert Bodo Goerisch Thelma Gutiérrez Dave Knight Don LaFontaine Jay Leno Kevin Loreque James MacDonald Paul McMichael Jody Millard Sal Pacino Lisa Rhyne Claudio Sad Kenneth Stephens Rene Teboe Jordan Werner Lars Woods,Comedy
26,brothers mcmullen the,1995,Edward Burns,Shari Albert Maxine Bahns Catharine Bolz Connie Britton Edward Burns Peter Johansen Jennifer Jostyn Michael McGlone Elizabeth McKay Jack Mulcahy,Comedy Drama Romance
27,bad boys,1995,Michael Bay,Lisa Boyle Michael Taliferro Emmanuel Xuereb Tchéky Karyo Marc Macaulay Ralph Gonzalez Vic Manni Frank John Hughes Mike Kirton Martin Lawrence Will Smith Will Knickerbocker Theresa Randle Tiffany Samuels Cory Hodges Scott Cumberbatch Anna Thomson Joey Romano Sam Ayers Joe Pantoliano Marg Helgenberger Nestor Serrano Julio Oscar Mechoso Michael Imperioli Karen Alexander Fawn Reed Heather Davis Téa Leoni Saverio Guerra Maureen Gallagher Juan F. Cejas Ed Amatrudo Jimmy Franzo Tony Bolano Shaun Toub Marty McSorley Norman Max Maxwell Kevin Corrigan Buddy Bolton Stan Miller Dug Jones John Salley Dana Mark Mario Ernesto Sánchez Kim Coates Manny Perry Cherie Wimberly,Action Comedy Crime Thriller
28,apollo 13,1995,Ron Howard,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris Kathleen Quinlan Mary Kate Schellhardt Emily Ann Lloyd Miko Hughes Max Elliott Slade Jean Speegle Howard Tracy Reiner David Andrews Michele Little Chris Ellis Joe Spano Xander Berkeley Marc McClure Ben Marley Clint Howard Loren Dean Tom Wood Googy Gress Patrick Mickler Ray McKinnon Max Grodénchik Christian Clemenson Brett Cullen Ned Vaughn Andy Milder Geoffrey Blake Wayne Duvall Jim Meskimen Joseph Culp John Short Ben Bode Todd Louiso Gabriel Jarret Christopher John Fields Kenneth White James Ritz Andrew Lipschultz Mark Wheeler Larry Williams Endre Hules Karen Martin Maureen Hanley Meadow Williams Walter von Huene Brian Markinson Steve Rankin Austin O'Brien Louisa Marie Thom Barry Arthur Senzy Carl Gabriel Yorke Ryan Holihan Rance Howard Jane Jenkins Todd Hallowell Matthew Michael Goodall Taylor Goodall Misty Dickinson Roger Corman Lee Anne Matusek Mark D. Newman Mark McKeel Patty Raya Jack Conley Jeffrey Kluger Bruce Wright Ivan Allen Jon Bruno Reed Rudy Steve Bernie Steve Ruge Herbert Jefferson Jr. John Dullaghan John Wheeler Paul Mantee Julie Rowen Thomas Crawford Frank Cavestani John M. Mathews Neil Armstrong Jules Bergman Pope Paul VI Jimmy Wynn Walter Altman Stephen J. Austin Jeffrey J. Ayers Rory J. Aylward John Bishop John Timothy Botka Greg Bronson Jaime H. Campos Tory Christopher Michael S. Connolly Adam Cozens Walter Cronkite Mark Falvo Michael Grubb Bryce Dallas Howard Cheryl Howard Chet Huntley Kent Kasper Sarah Krasner Chauntal Lewis Jim Lovell Marilyn Lovell Arnold Montey Chris Moore Frank Reynolds Steve Testa Ted West Peter Wick,Adventure Drama History
29,batman forever,1995,Joel Schumacher,Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell Michael Gough Pat Hingle Drew Barrymore Debi Mazar Elizabeth Sanders Rene Auberjonois Joe Grifasi Philip Moon Jessica Tuck Dennis Paladino Kimberly Scott Michael Paul Chan Jon Favreau Greg Lauren Ramsey Ellis Michael Scranton Eileen Seeley David U. Hodges Jack Betts Tim Jackson Daniel Reichert Glory Fioramonti Larry A. Lee Bruce Roberts George Wallace Bob Zmuda Rebecca Budig Don Wilson Sydney D. Minckler Maxine Jones Terry Ellis Cindy Herron Dawn Robinson Gary Kasper Amanda Trees Andrea Fletcher Ria Coyne Jed Curtis William Mesnik Marga Gómez Kelly Vaughn John Fink Noby Arden Marlene Bologna Danny Castle Troy S. Wolfe Christopher Caso Gary Clayton Oscar Dillon Keith Graham Kevin Grevioux Mark Hicks Corey Jordan Randy Lamb Maurice Lamont Sidney S. Liufau Brad Martin Deron McBee Mario Mugavero Joey Nelson Jim Palmer Robert Powell Peewee Piemonte Peter Radon François Rodrigue Joe Sabatino Mike Sabatino Ofer Samra Matt Sigloch Mike Smith Ed Begley Jr. George Cheung Michael Dane Katrina Fisher Nancy Gassner-Clayton Timothy Guest Patrick Leahy Marshall Dancing Elk Lucas Velvet Rhodes Dana Walsh,Action Adventure
30,belle de jour,1967,Luis Buñuel,Catherine Deneuve Jean Sorel Michel Piccoli Geneviève Page Pierre Clémenti Françoise Fabian Macha Méril Muni Maria Latour Claude Cerval Michel Charrel Iska Khan Bernard Musson Marcel Charvey François Maistre Francisco Rabal Georges Marchal Francis Blanche Adélaïde Blasquez Luis Buñuel Dominique Dandrieux Debut de Roseville Marc Eyraud Bernard Fresson Pierre Marcay Brigitte Parmentier Dominique Sauvage,Drama Romance
